"","x"
"1",0.000598269318163148
"2",0.000559258489927529
"3",0.000566443961164957
"4",0.000327476935910427
"5",0.000734017001036459
"6",0.000311579854607046
"7",0.000553194141887072
"8",0.000725217390394795
"9",0.000666136364884643
"10",0.000323146778460987
"11",0.000534372768654686
"12",0.000343341270767719
"13",0.000504138342060416
"14",0.00052441396171666
"15",0.000520939015075509
"16",0.000205831361510961
"17",0.000418999135867934
"18",0.000662550364056614
"19",0.000417219749002241
"20",0.000245983201684072
"21",0.000648795777892697
"22",0.000388623626506194
"23",0.000453398697323373
"24",0.000524999145074455
"25",0.00042349632306822
"26",0.000318882072051085
"27",0.000643805064201181
"28",0.000402791683296681
"29",0.000604765575021749
"30",0.000434526283048305
"31",0.000543584576906209
"32",0.000203080019953808
"33",0.000759134934162122
"34",0.000542176538715567
"35",0.000918494499425959
"36",0.000282633341912971
"37",0.000349923403662609
"38",0.000341142460038275
"39",0.000288985307421673
"40",0.000291263610865919
"41",0.000293799513339096
"42",0.000735749181802988
"43",0.000297379237114743
"44",0.000188738347673607
"45",0.000521225881036757
"46",0.000363243901199615
"47",0.000512524654175588
"48",0.000207375586056784
"49",0.000495442417111746
"50",0.000307543524857151
